material,categoria,sku,precio,imagenes,carpeta
Oro 18k,Anillos,10000,110000,2,Catalogo Oro\Anillos\10000
Oro 18k,Anillos,13050,105000,3,Catalogo Oro\Anillos\13050
Oro 18k,Anillos,13101,105000,3,Catalogo Oro\Anillos\13101
Oro 18k,Anillos,13045,105000,3,Catalogo Oro\Anillos\13045
Oro 18k,Anillos,13030,135000,5,Catalogo Oro\Anillos\13030
Oro 18k,Anillos,13059,105000,3,Catalogo Oro\Anillos\13059
Oro 18k,Anillos,13061,115000,3,Catalogo Oro\Anillos\13061
Oro 18k,Anillos,13098,115000,4,Catalogo Oro\Anillos\13098
Oro 18k,Anillos,13060,105000,2,Catalogo Oro\Anillos\13060
Oro 18k,Anillos,13054,105000,2,Catalogo Oro\Anillos\13054
Oro 18k,Anillos,13009-T10,80000,6,Catalogo Oro\Anillos\13009-T10
Oro 18k,Anillos,13062,105000,4,Catalogo Oro\Anillos\13062
Oro 18k,Anillos,13046,105000,3,Catalogo Oro\Anillos\13046
Oro 18k,Anillos,13049,105000,3,Catalogo Oro\Anillos\13049
Oro 18k,Anillos,13102,105000,3,Catalogo Oro\Anillos\13102
Oro 18k,Anillos,13009-T5.5,80000,6,Catalogo Oro\Anillos\13009-T5.5
Oro 18k,Anillos,13104,115000,2,Catalogo Oro\Anillos\13104
Oro 18k,Anillos,13100,105000,4,Catalogo Oro\Anillos\13100
Oro 18k,Anillos,13065,115000,3,Catalogo Oro\Anillos\13065
Oro 18k,Anillos,13105,105000,2,Catalogo Oro\Anillos\13105
Oro 18k,Anillos,13009-T5,80000,6,Catalogo Oro\Anillos\13009-T5
Oro 18k,Anillos,13064,115000,3,Catalogo Oro\Anillos\13064
Oro 18k,Anillos,13052,105000,2,Catalogo Oro\Anillos\13052
Oro 18k,Anillos,13047,105000,3,Catalogo Oro\Anillos\13047
Oro 18k,Anillos,13053,105000,2,Catalogo Oro\Anillos\13053
Oro 18k,Anillos,13068,115000,4,Catalogo Oro\Anillos\13068
Oro 18k,Anillos,13048,105000,3,Catalogo Oro\Anillos\13048
Oro 18k,Aretes,35000,95000,1,Catalogo Oro\Aretes\35000
Oro 18k,Aretes,35006,95000,1,Catalogo Oro\Aretes\35006
Oro 18k,Aretes,35005,95000,1,Catalogo Oro\Aretes\35005
